 ,background,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
background,139271427,415477,479026,165026,8710,91,617720,447896,2311093,655,29484,60966,428319,189143,546484,1767624,291,63183,67403,972213,1723659
aeroplane,742423,772748,212,9275,2562,0,18,7866,0,0,0,0,194,89,92,5940,0,0,0,4012,14514
bicycle,964528,21,860330,4256,5,0,418,9960,144,0,0,0,0,13559,317365,39121,193,220,0,30676,0
bird,869644,50289,0,236430,21840,106,0,1193,209811,0,1,0,167613,4029,0,15329,0,11103,0,330,11559
boat,853792,6819,0,8782,43167,0,1818,58895,0,0,19,0,267,4236,1244,31422,0,820,0,4548,0
bottle,449807,0,604,20746,0,5319,0,0,76819,0,0,2312,6377,0,282,75592,0,0,6,0,43812
bus,482075,1266,0,0,1878,0,2532769,46603,0,0,0,0,0,51,315,7,0,0,0,22617,122809
car,1239474,44162,297,0,2134,161,245221,2533411,1436,0,0,0,218,344,207930,24604,0,0,0,26541,49410
cat,1439791,1529,72780,12715,0,0,0,0,4373466,0,43,0,352106,6446,34497,191012,0,12145,4,18036,1144
chair,2632912,1570,23943,2316,377,0,1360,591,6704,2887,0,2707,3399,2049,27498,222422,0,0,78824,40,47020
cow,775132,660,0,4648,0,0,0,0,15589,0,165233,0,200292,308024,0,26077,0,151219,0,0,0
diningtable,1478101,41,0,15,0,0,164,1663,89040,0,0,112276,23,0,744,140930,0,0,44,28,5145
dog,1676148,8352,2183,19451,1177,0,0,540,2350862,0,33262,391,1250865,80418,7727,405435,20,88889,10913,0,0
horse,645880,598,27473,34070,5,0,0,0,43749,0,75293,0,67087,465725,36,86056,0,55471,0,15,280
motorbike,770034,4497,213769,858,0,4,3454,68167,3683,0,4,258,20613,7594,1842112,97321,34,0,34,0,13525
person,5451978,24319,123736,76591,3041,88,22982,74710,433717,0,1244,7878,259638,186938,293670,8467061,130,3071,2799,10324,37369
pottedplant,890167,4,5990,14687,0,0,0,576,24378,0,0,6148,11864,0,132,33454,99,0,0,3496,3007
sheep,667253,0,224,8233,0,0,0,0,224322,0,36629,59,211228,23189,3090,2634,0,564004,0,0,0
sofa,2822441,33,1439,0,0,0,79,1600,148788,695,190,4265,11113,3375,0,150710,0,228,78744,9865,23628
train,1457579,16301,16025,5830,18638,0,212194,33846,0,0,1,0,0,2614,18496,47876,0,2911,0,1563591,7871
tvmonitor,631331,240,0,0,47,3,0,0,0,0,0,0,0,0,0,5075,0,0,203,255,819206
